,text,label,telegram_id
0,восстановление аммиакопровода тольятти одесса займет от до месяцев при наличии доступа к объекту заявили в мид рф в ведомстве отметили что россия предпримет усилия для выяснения обстоятельств подрыва аммиакопровода,2,157314
1,дополнительные миллионов рублей были выделены на социальные учреждения марий эл об этом заявили участники съезда соцработников семь автобусов для детских учреждений будут закуплены на миллионов рублей оставшиеся миллионов уйдут на улучшение материальнотехнической базы социальных учреждений что необходимо для реализации пилотного проекта по созданию системы долговременного ухода всего в этом году на обновление материальнотехнической базы и соцучреждений будет потрачено миллиона рублей из бюджета республики сообщаетесь прессслужба главы марий эл,12,18940
2,россия уничтожена санкциями байден аххаха,2,4868
3,правоохранители провели обыски в министерстве образования и науки дагестана сообщает тасс в правоохранительных органах уточнили что обыски прошли по уголовному делу связанному с выплатами директорам школ,2,157315
4,реконструкция пропускного пункта верхний ларс завершится к июня мишустин,12,157317
5,в загородных детских лагерях марий эл в данный момент отдыхают детей и ещё ребят посещают пришкольных лагерей всего на территории республики планируется открыть оздоровительных организаций для детей и подростков из которых в первую смену будут функционировать лагеря включая загородных пришкольных и палаточных все организации которые начнут работу в первую смену имеют санитарноэпидемиологические заключения от роспотребнадзора в некоторых лагерях расположенных на берегу озер дети смогут купаться ведь их администрация получила разрешение от надзорной инстанции,14,18941
6,вестимагадан показывают в каких условиях живут пассажиры самолета летевшего из дели в санфранциско но аварийно севшего в аэропорту магадана пассажира и членов экипажа boeing которые планировали долететь до американского санфранциско неожиданно оказались в столице колымы изза неисправности двигателя отремонтировать борт не удалось поэтому большую часть вынужденных путешественников разместили недалеко от аэропорта в образовательном учреждении поселка сокол росавиация разрешила авиакомпании выслать за ними резервный борт самолет уже в пути,29,157318
7,человек скончались изза отравления сидром трое находятся в крайне тяжелом состоянии всего пострадали человек минздрав рф,2,157319
8,эрдоган провел телефонный разговор с зеленским обсудил идею создания международной комиссии по расследованию разрушения каховской гэс эрдоган заявил зеленскому о возможности создания комиссии с участием оон и экспертов для расследования разрушения гэс сообщили в канцелярии турецкого лидера,12,157320
9,возобновление переговорного процесса по украине зависит от готовности к этому киева оно возможно только с учетом признания новых геополитических реалий мид рф,25,157321
10,секретарь совбеза рф патрушев заявил что подрыв плотины каховской гэс осуществила украина патрушев заявил что киев сперва произвел масштабный сброс воды на днепрогэс а затем нанес удар по каховской гэс,2,157322
11,киевский нацистский режим созданный сша и британией необходимо сменить придав на практике украине статус нейтрального государства патрушев,12,157323
